175;Poland;POL
176;Portugal;PRT
177;Puerto Rico;PRI
178;Qatar;QAT
179;Republic of North Macedonia;MKD
180;Romania;ROU
181;Russian Federation (the);RUS
182;Rwanda;RWA
183;Réunion;REU
184;Saint Barthélemy;BLM
185;Saint Helena, Ascension and Tristan da Cunha;SHN
186;Saint Kitts and Nevis;KNA
187;Saint Lucia;LCA
188;Saint Martin (French part);MAF
189;Saint Pierre and Miquelon;SPM
190;Saint Vincent and the Grenadines;VCT
191;Samoa;WSM
192;San Marino;SMR
193;Sao Tome and Principe;STP
194;Saudi Arabia;SAU
195;Senegal;SEN
196;Serbia;SRB
197;Seychelles;SYC
198;Sierra Leone;SLE
199;Singapore;SGP
200;Sint Maarten (Dutch part);SXM
201;Slovakia;SVK
202;Slovenia;SVN
203;Solomon Islands;SLB
204;Somalia;SOM
205;South Africa;ZAF
206;South Georgia and the South Sandwich Islands;SGS
207;South Sudan;SSD
208;Spain;ESP
209;Sri Lanka;LKA
210;Sudan (the);SDN
211;Suriname;SUR
212;Svalbard and Jan Mayen;SJM
213;Sweden;SWE
214;Switzerland;CHE
215;Syrian Arab Republic;SYR
216;Taiwan (Province of China);TWN
217;Tajikistan;TJK
218;Tanzania, United Republic of;TZA
219;Thailand;THA
220;Timor-Leste;TLS
221;Togo;TGO
222;Tokelau;TKL
223;Tonga;TON
224;Trinidad and Tobago;TTO
225;Tunisia;TUN
226;Turkey;TUR
227;Turkmenistan;TKM
228;Turks and Caicos Islands (the);TCA
229;Tuvalu;TUV
230;Uganda;UGA
231;Ukraine;UKR
232;United Arab Emirates (the);ARE
233;United Kingdom of Great Britain and Northern Ireland (the);GBR
234;United States Minor Outlying Islands (the);UMI
235;United States of America (the);USA
236;Uruguay;URY
237;Uzbekistan;UZB
238;Vanuatu;VUT
239;Venezuela (Bolivarian Republic of);VEN
240;Viet Nam;VNM
241;Virgin Islands (British);VGB
242;Virgin Islands (U.S.);VIR
243;Wallis and Futuna;WLF
244;Western Sahara;ESH
245;Yemen;YEM
246;Zambia;ZMB
247;Zimbabwe;ZWE
248;Åland Islands;ALA
250;Stateless;XXA
